,CLOSE,cer index
0,18.0433,2019-12-02
1,18.0433,2019-12-02
2,18.0433,2019-12-02
3,18.0628,2019-12-03
4,18.0824,2019-12-04
5,18.102,2019-12-05
6,18.1216,2019-12-06
7,18.1805,2019-12-09
8,18.1805,2019-12-09
9,18.1805,2019-12-09
10,18.2002,2019-12-10
11,18.2199,2019-12-11
12,18.2396,2019-12-12
13,18.2594,2019-12-13
14,18.3238,2019-12-16
15,18.3238,2019-12-16
16,18.3238,2019-12-16
17,18.3487,2019-12-17
18,18.3736,2019-12-18
19,18.3986,2019-12-19
20,18.4236,2019-12-20
21,18.4988,2019-12-23
22,18.4988,2019-12-23
23,18.4988,2019-12-23
24,18.524,2019-12-24
25,18.5491,2019-12-25
26,18.5744,2019-12-26
27,18.5996,2019-12-27
28,18.6755,2019-12-30
29,18.6755,2019-12-30
30,18.6755,2019-12-30
31,18.7009,2019-12-31
32,18.7263,2020-01-01
33,18.7518,2020-01-02
34,18.7773,2020-01-03
35,18.8539,2020-01-06
36,18.8539,2020-01-06
37,18.8539,2020-01-06
38,18.8795,2020-01-07
39,18.9052,2020-01-08
40,18.9309,2020-01-09
41,18.9566,2020-01-10
42,19.034,2020-01-13
43,19.034,2020-01-13
44,19.034,2020-01-13
45,19.0599,2020-01-14
46,19.0858,2020-01-15
47,19.1082,2020-01-16
48,19.1306,2020-01-17
49,19.198,2020-01-20
50,19.198,2020-01-20
51,19.198,2020-01-20
52,19.2205,2020-01-21
53,19.243,2020-01-22
54,19.2656,2020-01-23
55,19.2882,2020-01-24
56,19.3561,2020-01-27
57,19.3561,2020-01-27
58,19.3561,2020-01-27
59,19.3788,2020-01-28
60,19.4015,2020-01-29
61,19.4243,2020-01-30
62,19.4471,2020-01-31
63,19.5156,2020-02-03
64,19.5156,2020-02-03
65,19.5156,2020-02-03
66,19.5384,2020-02-04
67,19.5614,2020-02-05
68,19.5843,2020-02-06
69,19.6073,2020-02-07
70,19.6763,2020-02-10
71,19.6763,2020-02-10
72,19.6763,2020-02-10
73,19.6994,2020-02-11
74,19.7225,2020-02-12
75,19.7456,2020-02-13
76,19.7688,2020-02-14
77,19.823,2020-02-17
78,19.823,2020-02-17
79,19.823,2020-02-17
80,19.8386,2020-02-18
81,19.8541,2020-02-19
82,19.8697,2020-02-20
83,19.8853,2020-02-21
84,19.9321,2020-02-24
85,19.9321,2020-02-24
86,19.9321,2020-02-24
87,19.9478,2020-02-25
88,19.9634,2020-02-26
89,19.9791,2020-02-27
90,19.9947,2020-02-28
91,20.0418,2020-03-02
92,20.0418,2020-03-02
93,20.0418,2020-03-02
94,20.0576,2020-03-03
95,20.0733,2020-03-04
96,20.089,2020-03-05
97,20.1048,2020-03-06
98,20.1521,2020-03-09
99,20.1521,2020-03-09
100,20.1521,2020-03-09
101,20.168,2020-03-10
102,20.1838,2020-03-11
103,20.1996,2020-03-12
104,20.2154,2020-03-13
105,20.2601,2020-03-16
106,20.2601,2020-03-16
107,20.2601,2020-03-16
108,20.2731,2020-03-17
109,20.286,2020-03-18
110,20.299,2020-03-19
111,20.3119,2020-03-20
112,20.3509,2020-03-23
113,20.3509,2020-03-23
114,20.3509,2020-03-23
115,20.3639,2020-03-24
116,20.3769,2020-03-25
117,20.3899,2020-03-26
118,20.403,2020-03-27
119,20.4421,2020-03-30
120,20.4421,2020-03-30
121,20.4421,2020-03-30
122,20.4552,2020-03-31
123,20.4682,2020-04-01
124,20.4813,2020-04-02
125,20.4944,2020-04-03
126,20.5337,2020-04-06
127,20.5337,2020-04-06
128,20.5337,2020-04-06
129,20.5468,2020-04-07
130,20.56,2020-04-08
131,20.5731,2020-04-09
132,20.5863,2020-04-10
133,20.6258,2020-04-13
134,20.6258,2020-04-13
135,20.6258,2020-04-13
136,20.6389,2020-04-14
137,20.6521,2020-04-15
138,20.6745,2020-04-16
139,20.6969,2020-04-17
140,20.7642,2020-04-20
141,20.7642,2020-04-20
142,20.7642,2020-04-20
143,20.7867,2020-04-21
144,20.8092,2020-04-22
145,20.8317,2020-04-23
146,20.8543,2020-04-24
147,20.9221,2020-04-27
148,20.9221,2020-04-27
149,20.9221,2020-04-27
150,20.9447,2020-04-28
151,20.9674,2020-04-29
152,20.9901,2020-04-30
153,21.0128,2020-05-01
154,21.0812,2020-05-04
155,21.0812,2020-05-04
156,21.0812,2020-05-04
157,21.104,2020-05-05
158,21.1269,2020-05-06
159,21.1497,2020-05-07
160,21.1726,2020-05-08
161,21.2415,2020-05-11
162,21.2415,2020-05-11
163,21.2415,2020-05-11
164,21.2645,2020-05-12
165,21.2875,2020-05-13
166,21.3106,2020-05-14
167,21.3336,2020-05-15
168,21.3644,2020-05-18
169,21.3644,2020-05-18
170,21.3644,2020-05-18
171,21.3747,2020-05-19
172,21.3849,2020-05-20
173,21.3952,2020-05-21
174,21.4055,2020-05-22
175,21.4363,2020-05-25
176,21.4363,2020-05-25
177,21.4363,2020-05-25
178,21.4466,2020-05-26
179,21.4569,2020-05-27
180,21.4673,2020-05-28
181,21.4776,2020-05-29
182,21.5085,2020-06-01
183,21.5085,2020-06-01
184,21.5085,2020-06-01
185,21.5189,2020-06-02
186,21.5292,2020-06-03
187,21.5395,2020-06-04
188,21.5499,2020-06-05
189,21.581,2020-06-08
190,21.581,2020-06-08
191,21.581,2020-06-08
192,21.5913,2020-06-09
193,21.6017,2020-06-10
194,21.6121,2020-06-11
195,21.6225,2020-06-12
196,21.6536,2020-06-15
197,21.6536,2020-06-15
198,21.6536,2020-06-15
199,21.6644,2020-06-16
200,21.6751,2020-06-17
201,21.6859,2020-06-18
202,21.6967,2020-06-19
203,21.729,2020-06-22
204,21.729,2020-06-22
205,21.729,2020-06-22
206,21.7398,2020-06-23
207,21.7506,2020-06-24
208,21.7614,2020-06-25
209,21.7722,2020-06-26
210,21.8046,2020-06-29
211,21.8046,2020-06-29
212,21.8046,2020-06-29
213,21.8154,2020-06-30
214,21.8263,2020-07-01
215,21.8371,2020-07-02
216,21.8479,2020-07-03
217,21.8805,2020-07-06
218,21.8805,2020-07-06
219,21.8805,2020-07-06
220,21.8914,2020-07-07
221,21.9022,2020-07-08
222,21.9131,2020-07-09
223,21.924,2020-07-10
224,21.9566,2020-07-13
225,21.9566,2020-07-13
226,21.9566,2020-07-13
227,21.9675,2020-07-14
228,21.9784,2020-07-15
229,21.9939,2020-07-16
230,22.0093,2020-07-17
231,22.0557,2020-07-20
232,22.0557,2020-07-20
233,22.0557,2020-07-20
234,22.0712,2020-07-21
235,22.0867,2020-07-22
236,22.1022,2020-07-23
237,22.1177,2020-07-24
238,22.1644,2020-07-27
239,22.1644,2020-07-27
240,22.1644,2020-07-27
