fecha cer,ARTX213=BA,ARTC213=BA,ART2X13=BA,ART2X23=BA,ARTX223=BA,ARTX233=BA,ARTX243=BA,ARTX263=BA,año,mes,dia,fecha cer,cer index,CLOSE,cer año,cer mes,cer dia
2020-01-02,,171.0,,,,,,,2020,1,2,2020-01-02,2019-12-23,18.4988,2019,12,23
2020-01-03,,174.0,,,,,,,2020,1,3,2020-01-03,2019-12-24,18.524,2019,12,24
2020-01-06,,174.0,,,,,,,2020,1,6,2020-01-06,2019-12-25,18.5491,2019,12,25
2020-01-07,,174.75,,,,,,,2020,1,7,2020-01-07,2019-12-26,18.5744,2019,12,26
2020-01-08,,186.0,,,,,,,2020,1,8,2020-01-08,2019-12-27,18.5996,2019,12,27
2020-01-09,,211.0,,,,,,,2020,1,9,2020-01-09,2019-12-30,18.6755,2019,12,30
2020-01-10,,225.0,,,,,,,2020,1,10,2020-01-10,2019-12-31,18.7009,2019,12,31
2020-01-13,,212.5,,,,,,,2020,1,13,2020-01-13,2020-01-01,18.7263,2020,1,1
2020-01-14,,208.5,,,,,,,2020,1,14,2020-01-14,2020-01-02,18.7518,2020,1,2
2020-01-15,,209.0,,,,,,,2020,1,15,2020-01-15,2020-01-03,18.7773,2020,1,3
2020-01-16,,207.5,,,,,,,2020,1,16,2020-01-16,2020-01-06,18.8539,2020,1,6
2020-01-17,,206.16,,,,,,,2020,1,17,2020-01-17,2020-01-07,18.8795,2020,1,7
2020-01-20,,211.7,,,,,,,2020,1,20,2020-01-20,2020-01-08,18.9052,2020,1,8
2020-01-21,,224.6,,,,,,,2020,1,21,2020-01-21,2020-01-09,18.9309,2020,1,9
2020-01-22,,226.1,,,,,,,2020,1,22,2020-01-22,2020-01-10,18.9566,2020,1,10
2020-01-23,,228.0,,,,,,,2020,1,23,2020-01-23,2020-01-13,19.034,2020,1,13
2020-01-24,,231.2,,,,,,,2020,1,24,2020-01-24,2020-01-14,19.0599,2020,1,14
2020-01-27,,223.75,,,,,,,2020,1,27,2020-01-27,2020-01-15,19.0858,2020,1,15
2020-01-28,,229.5,,,,,,,2020,1,28,2020-01-28,2020-01-16,19.1082,2020,1,16
2020-01-29,,229.0,,,,,,,2020,1,29,2020-01-29,2020-01-17,19.1306,2020,1,17
2020-01-30,,229.5,,,,,,,2020,1,30,2020-01-30,2020-01-20,19.198,2020,1,20
2020-01-31,,228.0,,,,,,,2020,1,31,2020-01-31,2020-01-21,19.2205,2020,1,21
2020-02-03,,226.0,,,,,,,2020,2,3,2020-02-03,2020-01-22,19.243,2020,1,22
2020-02-04,,228.5,,,,,,,2020,2,4,2020-02-04,2020-01-23,19.2656,2020,1,23
2020-02-05,,228.0,,,,,,,2020,2,5,2020-02-05,2020-01-24,19.2882,2020,1,24
2020-02-06,86.0,228.45,,,,,,,2020,2,6,2020-02-06,2020-01-27,19.3561,2020,1,27
2020-02-07,88.8,228.0,,,,,,,2020,2,7,2020-02-07,2020-01-28,19.3788,2020,1,28
2020-02-10,86.0,228.5,,,,,,,2020,2,10,2020-02-10,2020-01-29,19.4015,2020,1,29
2020-02-11,85.0,214.0,,,,,,,2020,2,11,2020-02-11,2020-01-30,19.4243,2020,1,30
2020-02-12,84.8,209.0,,,,,,,2020,2,12,2020-02-12,2020-01-31,19.4471,2020,1,31
2020-02-13,,190.0,,,,,,,2020,2,13,2020-02-13,2020-02-03,19.5156,2020,2,3
2020-02-14,81.9,204.0,,,,,,,2020,2,14,2020-02-14,2020-02-04,19.5384,2020,2,4
2020-02-17,80.25,214.25,,,,,,,2020,2,17,2020-02-17,2020-02-05,19.5614,2020,2,5
2020-02-18,81.0,219.75,,,,,,,2020,2,18,2020-02-18,2020-02-06,19.5843,2020,2,6
2020-02-19,82.0,221.75,,,,,,,2020,2,19,2020-02-19,2020-02-07,19.6073,2020,2,7
2020-02-20,84.0,216.85,,,,,,,2020,2,20,2020-02-20,2020-02-10,19.6763,2020,2,10
2020-02-21,84.0,220.8,,,,,,,2020,2,21,2020-02-21,2020-02-11,19.6994,2020,2,11
2020-02-26,,220.0,,,,,,,2020,2,26,2020-02-26,2020-02-14,19.7688,2020,2,14
2020-02-27,84.0,218.0,,,,,,,2020,2,27,2020-02-27,2020-02-17,19.823,2020,2,17
2020-02-28,82.0,218.0,,,,,,,2020,2,28,2020-02-28,2020-02-18,19.8386,2020,2,18
2020-03-02,78.0,221.1,,,,,,,2020,3,2,2020-03-02,2020-02-19,19.8541,2020,2,19
2020-03-03,81.0,228.0,,,,,,,2020,3,3,2020-03-03,2020-02-20,19.8697,2020,2,20
2020-03-04,81.75,234.65,,,,,,,2020,3,4,2020-03-04,2020-02-21,19.8853,2020,2,21
2020-03-05,83.45,239.45,,,,,,,2020,3,5,2020-03-05,2020-02-24,19.9321,2020,2,24
2020-03-06,81.6,240.75,,,,,,,2020,3,6,2020-03-06,2020-02-25,19.9478,2020,2,25
2020-03-09,77.6,229.0,,,,,,,2020,3,9,2020-03-09,2020-02-26,19.9634,2020,2,26
2020-03-10,79.8,232.5,,,,,,,2020,3,10,2020-03-10,2020-02-27,19.9791,2020,2,27
2020-03-11,80.7,229.0,,,,,,,2020,3,11,2020-03-11,2020-02-28,19.9947,2020,2,28
2020-03-12,78.25,224.0,,,,,,,2020,3,12,2020-03-12,2020-03-02,20.0418,2020,3,2
2020-03-13,78.75,226.5,,,,,,,2020,3,13,2020-03-13,2020-03-03,20.0576,2020,3,3
2020-03-16,77.0,222.8,,,,,,,2020,3,16,2020-03-16,2020-03-04,20.0733,2020,3,4
2020-03-17,74.2,219.9,,,,,,,2020,3,17,2020-03-17,2020-03-05,20.089,2020,3,5
2020-03-18,73.4,214.0,,,55.6,,,,2020,3,18,2020-03-18,2020-03-06,20.1048,2020,3,6
2020-03-19,64.0,204.8,,,52.5,,,,2020,3,19,2020-03-19,2020-03-09,20.1521,2020,3,9
2020-03-20,66.8,201.0,,,53.5,,,,2020,3,20,2020-03-20,2020-03-10,20.168,2020,3,10
2020-03-25,62.0,190.0,,,48.7,,,,2020,3,25,2020-03-25,2020-03-13,20.2154,2020,3,13
2020-03-26,63.6,195.5,,,49.09,,,,2020,3,26,2020-03-26,2020-03-16,20.2601,2020,3,16
2020-03-27,62.25,195.0,,,46.5,,,,2020,3,27,2020-03-27,2020-03-17,20.2731,2020,3,17
2020-03-30,62.75,199.0,,,51.8,,,,2020,3,30,2020-03-30,2020-03-18,20.286,2020,3,18
2020-04-01,61.99,196.3,,,52.5,100.0,,,2020,4,1,2020-04-01,2020-03-20,20.3119,2020,3,20
2020-04-02,60.15,194.15,,,53.0,,,,2020,4,2,2020-04-02,2020-03-23,20.3509,2020,3,23
2020-04-03,60.7,195.0,,,56.0,77.0,,,2020,4,3,2020-04-03,2020-03-24,20.3639,2020,3,24
2020-04-06,59.75,192.0,,,56.0,49.0,,,2020,4,6,2020-04-06,2020-03-25,20.3769,2020,3,25
2020-04-07,61.0,188.9,,,56.45,50.0,,,2020,4,7,2020-04-07,2020-03-26,20.3899,2020,3,26
2020-04-08,59.95,184.5,,,57.9,,,,2020,4,8,2020-04-08,2020-03-27,20.403,2020,3,27
2020-04-13,61.75,189.0,,,59.1,49.0,,,2020,4,13,2020-04-13,2020-04-01,20.4682,2020,4,1
2020-04-14,64.0,193.0,,,61.0,,,,2020,4,14,2020-04-14,2020-04-02,20.4813,2020,4,2
2020-04-15,69.2,203.5,,,65.35,,,,2020,4,15,2020-04-15,2020-04-03,20.4944,2020,4,3
2020-04-16,73.25,228.0,,,70.9,50.0,,,2020,4,16,2020-04-16,2020-04-06,20.5337,2020,4,6
2020-04-17,79.5,260.0,,,77.0,62.0,,,2020,4,17,2020-04-17,2020-04-07,20.5468,2020,4,7
2020-04-20,79.95,257.0,80.0,,76.75,65.0,,,2020,4,20,2020-04-20,2020-04-08,20.56,2020,4,8
