Date,ARTO213=BA,ARTO233=BA,ARTO263=BA,año,mes,dia
2020-01-02,45.1,40.0,,2020,1,2
2020-01-03,46.95,40.0,,2020,1,3
2020-01-06,47.8,41.0,,2020,1,6
2020-01-07,50.6,43.0,,2020,1,7
2020-01-08,55.7,47.0,33.0,2020,1,8
2020-01-09,57.0,48.5,45.0,2020,1,9
2020-01-10,56.5,48.5,45.4,2020,1,10
2020-01-13,54.6,46.5,45.0,2020,1,13
2020-01-14,51.9,45.5,48.5,2020,1,14
2020-01-15,52.35,47.0,49.45,2020,1,15
2020-01-16,52.49,43.0,49.45,2020,1,16
2020-01-17,54.0,45.0,49.0,2020,1,17
2020-01-20,57.65,44.5,48.9,2020,1,20
2020-01-21,58.89,48.99,44.75,2020,1,21
2020-01-22,57.35,47.5,44.5,2020,1,22
2020-01-23,55.5,46.8,42.6,2020,1,23
2020-01-24,55.75,44.9,43.0,2020,1,24
2020-01-27,54.25,44.0,,2020,1,27
2020-01-28,55.0,43.5,,2020,1,28
2020-01-29,55.15,44.0,,2020,1,29
2020-01-30,55.5,43.9,43.0,2020,1,30
2020-01-31,55.4,42.5,39.45,2020,1,31
2020-02-03,56.0,43.0,,2020,2,3
2020-02-04,57.0,42.95,39.95,2020,2,4
2020-02-05,57.0,42.0,39.25,2020,2,5
2020-02-06,56.9,42.0,,2020,2,6
2020-02-07,56.65,43.05,40.5,2020,2,7
2020-02-10,56.0,42.25,,2020,2,10
2020-02-11,53.5,41.0,41.0,2020,2,11
2020-02-12,55.9,43.0,,2020,2,12
2020-02-13,53.0,41.5,,2020,2,13
2020-02-14,54.0,43.0,40.0,2020,2,14
2020-02-17,54.85,44.0,40.0,2020,2,17
2020-02-18,56.45,44.0,40.0,2020,2,18
2020-02-19,57.0,45.0,,2020,2,19
2020-02-20,57.5,46.0,,2020,2,20
2020-02-21,59.0,49.0,45.0,2020,2,21
2020-02-26,59.2,48.0,45.5,2020,2,26
2020-02-27,59.19,48.0,,2020,2,27
2020-02-28,58.8,48.0,47.0,2020,2,28
2020-03-02,59.75,49.0,48.0,2020,3,2
2020-03-03,61.15,50.0,49.0,2020,3,3
2020-03-04,63.5,52.0,49.9,2020,3,4
2020-03-05,64.0,53.25,50.0,2020,3,5
2020-03-06,64.5,53.5,50.25,2020,3,6
2020-03-09,63.75,53.0,50.0,2020,3,9
2020-03-10,64.91,52.0,50.0,2020,3,10
2020-03-11,63.5,51.5,48.0,2020,3,11
2020-03-12,60.2,50.9,45.0,2020,3,12
2020-03-13,59.5,50.0,,2020,3,13
2020-03-16,57.0,47.9,44.9,2020,3,16
2020-03-17,55.25,47.9,,2020,3,17
2020-03-18,51.0,47.5,,2020,3,18
2020-03-19,49.0,47.5,,2020,3,19
2020-03-20,50.7,40.0,42.7,2020,3,20
